First gen,Prior experience
Yes,I know a few basic concepts.
No,I have some experience.
Yes,No experience at all.
No,I have some experience.
No,No experience at all.
Yes,I know a few basic concepts.
Yes,I know a few basic concepts.
No,I know a few basic concepts.
No,I have some experience.
Yes,I know a few basic concepts.
No,"Yes, I have a lot of experience."
No,No experience at all.
Yes,I know a few basic concepts.
Yes,I know a few basic concepts.
No,I know a few basic concepts.
No,I have some experience.
No,No experience at all.
No,I have some experience.
No,I know a few basic concepts.
No,I know a few basic concepts.
No,I have some experience.
No,"Yes, I have a lot of experience."
Yes,No experience at all.
No,I know a few basic concepts.
No,No experience at all.
Yes,I know a few basic concepts.
Yes,I know a few basic concepts.
Yes,I know a few basic concepts.
No,I know a few basic concepts.
Yes,I know a few basic concepts.
Yes,No experience at all.
No,I know a few basic concepts.
No,No experience at all.
Yes,I know a few basic concepts.
Yes,No experience at all.
No,I have some experience.
Yes,I know a few basic concepts.
No,I know a few basic concepts.
No,No experience at all.
Yes,I have some experience.
Yes,I know a few basic concepts.
Yes,I know a few basic concepts.
No,No experience at all.
